email;lastname;firstname;age;department
BMullinder@phoenixcontact.com;Mullinder;Barbabra;30;Engineering
LBarthelemy@phoenixcontact.com;Barthelemy;Lammond;24;HR
DParmiter@phoenixcontact.com;Parmiter;Daphene;26;Process and IT Management
DShew@phoenixcontact.com;Shew;Dareen;44;Process and IT Management
CDorie@phoenixcontact.com;Dorie;Colver;32;Development
NFinder@phoenixcontact.com;Finder;Norine;53;Quality
JLismore@phoenixcontact.com;Lismore;Jemmy;50;Purchase
CBucknall@phoenixcontact.com;Bucknall;Catherin;48;Controlling
DKauscher@phoenixcontact.com;Kauscher;Devora;64;Process and IT Management
SCosins@phoenixcontact.com;Cosins;Sebastiano;36;Purchase
WGlyn@phoenixcontact.com;Glyn;Waylen;47;Process and IT Management
SJedrzejkiewicz@phoenixcontact.com;Jedrzejkiewicz;Storm;26;Quality
CRadmore@phoenixcontact.com;Radmore;Charmane;56;Process and IT Management
BCa@phoenixcontact.com;Ca;Bastian;67;Engineering
OVazquez@phoenixcontact.com;Vazquez;Omar;41;HR
DVondrasek@phoenixcontact.com;Vondrasek;Daniele;40;Engineering
VKentish@phoenixcontact.com;Kentish;Vin;21;Process and IT Management
IFulbrook@phoenixcontact.com;Fulbrook;Ikey;66;Development
KWhild@phoenixcontact.com;Whild;Keslie;36;Quality
BBrusle@phoenixcontact.com;Brusle;Barnabas;22;HR
RSkippen@phoenixcontact.com;Skippen;Ralph;61;Engineering
OWeir@phoenixcontact.com;Weir;Orsola;62;Development
DLovering@phoenixcontact.com;Lovering;Deb;24;Process and IT Management
LBletsor@phoenixcontact.com;Bletsor;Lloyd;43;HR
CWinchcombe@phoenixcontact.com;Winchcombe;Che;54;Controlling
TRought@phoenixcontact.com;Rought;Tiphanie;37;Development
MMelliard@phoenixcontact.com;Melliard;Moore;53;Quality
RMarklow@phoenixcontact.com;Marklow;Randie;49;HR
DMordan@phoenixcontact.com;Mordan;Dougy;56;Engineering
JMunkton@phoenixcontact.com;Munkton;Juliet;67;Development
NHuygens@phoenixcontact.com;Huygens;Norman;65;Engineering
DNares@phoenixcontact.com;Nares;Dorie;22;Quality
